Time,Open,High,Low,Last,Change,Volume
03/03/16,17.901,18.07,17.901,18.07,0.55,29400
03/02/16,17.316,17.52,17.316,17.52,0.225,21700
03/01/16,17.24,17.32,17.15,17.295,-0.094999999999999,28800
02/29/16,16.88,17.5,16.88,17.39,0.715,16400
02/26/16,16.75,16.8,16.38,16.675,-1.375,155600
02/25/16,18.03,18.05,17.83,18.05,0.039999999999999,62400
02/24/16,17.89,18.01,17.6,18.01,-0.029999999999998,47400
02/23/16,18,18.26,18,18.04,-0.35,88800
02/22/16,18.1,18.39,18.1,18.39,0.7,306200
02/19/16,17.77,17.77,17.55,17.69,-0.17,182600
02/18/16,18.235,18.3645,17.85,17.86,0.51,52300
02/17/16,17.3,17.38,17.27,17.35,0.075000000000003,61900
02/16/16,17.365,17.4,17.2,17.275,0.785,41700
02/12/16,16.24,16.49,16.06,16.49,-0.11,106700
02/11/16,16.5,16.63,16.34,16.6,-0.14,157000
02/10/16,16.905,17.02,16.74,16.74,-0.46,253800
02/09/16,17.09,17.2,17,17.2,-0.89,72100
02/08/16,18.425,18.425,17.83,18.09,0.23,127700
02/05/16,17.96,18.15,17.85,17.86,-0.25,54900
02/04/16,18.22,18.22,17.96,18.11,0.465,147700
02/03/16,17.75,17.84,17.4425,17.645,-0.675,155100
02/02/16,17.83,18.8,17.77,18.32,0.52,264000
02/01/16,17.8,17.81,17.605,17.8,0.23,121100
01/29/16,17.27,17.58,17.15,17.57,1.1,143900
01/28/16,16.65,16.65,16.39,16.47,-0.09,58100
01/27/16,16.63,16.74,16.47,16.56,-0.43,95100
01/26/16,16.85,17.04,16.85,16.99,0.41,79300
01/25/16,16.91,16.91,16.5,16.58,-0.46,87400
01/22/16,17.03,17.04,16.76,17.04,0.98,164700
01/21/16,15.89,16.1,15.76,16.06,0.255,160300
01/20/16,15.77,15.98,15.61,15.805,-1.215,130100
01/19/16,16.86,17.21,16.86,17.02,1.49,686700
01/15/16,15.58,15.62,15.41,15.53,-0.33,50800
01/14/16,15.7,15.87,15.63,15.86,-0.11,21100
01/13/16,16.21,16.285,15.88,15.97,0.48,34600
01/12/16,15.73,15.73,15.34,15.49,-0.53,64500
01/11/16,16.07,16.07,15.93,16.02,-0.030000000000001,47800
01/08/16,16.08,16.28,16.01,16.05,0.07,24100
01/07/16,15.81,16.12,15.81,15.98,0.24,71500
01/06/16,15.695,15.87,15.61,15.74,-0.815,74500
01/05/16,17.11,17.11,16.55,16.555,-0.69,248700
01/04/16,17.25,17.25,17.07,17.245,-0.009999999999998,68600
12/31/15,17.27,17.315,17.23,17.255,-0.02,19000
12/30/15,17.41,17.41,17.27,17.275,-0.385,52800
12/29/15,17.56,17.66,17.56,17.66,0.67,110900
12/28/15,16.98,17.07,16.94,16.99,0.36,108500
12/24/15,16.63,16.8,16.61,16.63,-0.225,35900
