score_phrase,title,url,release_date,platform,score,genre,editors_choice
Good,D-Link AC3200 Ultra Wi-Fi Router,http://www.ign.com/articles/2017/04/12/d-link-dir-890lr-ac3200-ultra-wi-fi-router-review,12-Apr-17,PC,7.7,Hardware,N
Okay,Trove,http://www.ign.com/articles/2017/04/11/trove-review,11-Apr-17,PlayStation 4,6.2,Adventure,N
Bad,Perception,http://www.ign.com/articles/2017/05/25/perception-review,25-May-17,Xbox One,4.8,Adventure,N
Bad,Perception,http://www.ign.com/articles/2017/05/25/perception-review,25-May-17,PC,4.8,Adventure,N
Good,Endless Space 2,http://www.ign.com/articles/2017/05/23/endless-space-2-review,24-May-17,PC,7.9,Strategy,N
Good,Farpoint,http://www.ign.com/articles/2017/05/17/farpoint-review,18-May-17,PlayStation 4,7.5,Adventure,N
Amazing,Injustice 2,http://www.ign.com/articles/2017/05/16/injustice-2-review,16-May-17,Xbox One,9,Fighting,Y
Amazing,Injustice 2,http://www.ign.com/articles/2017/05/16/injustice-2-review,16-May-17,PlayStation 4,9,Fighting,Y
Good,Fire Emblem Echoes: Shadows of Valentia,http://www.ign.com/articles/2017/05/16/fire-emblem-echoes-shadows-of-valentia-review,16-May-17,Nintendo 3DS,7.8,"Strategy, RPG",N
Good,The Surge,http://www.ign.com/articles/2017/05/15/the-surge-review,15-May-17,Xbox One,7.9,"Action, RPG",N
Good,The Surge,http://www.ign.com/articles/2017/05/15/the-surge-review,15-May-17,PlayStation 4,7.9,"Action, RPG",N
Great,Prey,http://www.ign.com/articles/2017/05/13/prey-review-2,13-May-17,PlayStation 4,8,Shooter,N
Great,Prey,http://www.ign.com/articles/2017/05/12/prey-review-2,13-May-17,PC,8,Shooter,N
Great,Prey,http://www.ign.com/articles/2017/05/13/prey-review-2,13-May-17,Xbox One,8,Shooter,N
Amazing,Forza Horizon 3: Hot Wheels,http://www.ign.com/articles/2017/05/12/forza-horizon-3-hot-wheels-review,12-May-17,Xbox One,9,Racing,Y
Amazing,Forza Horizon 3: Hot Wheels,http://www.ign.com/articles/2017/05/12/forza-horizon-3-hot-wheels-review,12-May-17,PC,9,Racing,Y
Good,NBA Playgrounds,http://www.ign.com/articles/2017/05/09/nba-playgrounds-review,9-May-17,Xbox One,7.4,Sports,N
Okay,Strafe,http://www.ign.com/articles/2017/05/09/strafe-review,9-May-17,PC,6.3,Shooter,N
Good,"Warhammer 40,000: Dawn of War III",http://www.ign.com/articles/2017/04/27/warhammer-40k-dawn-of-war-3-review,27-Apr-17,PC,7.6,Strategy,N
Mediocre,Sniper: Ghost Warrior 3,http://www.ign.com/articles/2017/04/27/sniper-ghost-warrior-3-review,27-Apr-17,PlayStation 4,5.5,Shooter,N
Great,What Remains of Edith Finch,http://www.ign.com/articles/2017/04/26/what-remains-of-edith-finch-review,26-Apr-17,PC,8.8,Adventure,N
Great,What Remains of Edith Finch,http://www.ign.com/articles/2017/04/26/what-remains-of-edith-finch-review,26-Apr-17,PlayStation 4,8.8,Adventure,N
Great,Kingston HyperX Pulsefire FPS Gaming Mouse,http://www.ign.com/articles/2017/04/26/kingston-hyperx-pulsefire-fps-gaming-mouse-review,26-Apr-17,PC,8.8,Hardware,N
Great,Little Nightmares,http://www.ign.com/articles/2017/04/26/little-nightmares-review,26-Apr-17,PlayStation 4,8.8,Adventure,N
Great,Little Nightmares,http://www.ign.com/articles/2017/04/26/little-nightmares-review,26-Apr-17,Xbox One,8.8,Adventure,N
Great,Little Nightmares,http://www.ign.com/articles/2017/04/26/little-nightmares-review,26-Apr-17,PC,8.8,Adventure,N
Okay,Mr. Shifty,http://www.ign.com/articles/2017/04/25/mr-shifty-review,25-Apr-17,Nintendo Switch,6.2,Action,N
Okay,Valkyria Revolution,http://www.ign.com/articles/2017/06/26/valkyria-revolution-review,27-Jun-17,PlayStation 4,6,RPG,N
Good,Darkest Dungeon: The Crimson Court,http://www.ign.com/articles/2017/06/26/darkest-dungeon-the-crimson-court-review,26-Jun-17,PC,7.7,RPG,N
Great,Nex Machina,http://www.ign.com/articles/2017/06/23/nex-machina-review,23-Jun-17,PlayStation 4,8,Shooter,N
Great,Nex Machina,http://www.ign.com/articles/2017/06/23/nex-machina-review,23-Jun-17,PC,8,Shooter,N
Great,Arms,http://www.ign.com/articles/2017/06/07/arms-review,16-Jun-17,Nintendo Switch,8,Fighting,N
Amazing,Minecraft,http://www.ign.com/articles/2017/06/07/minecraft-switch-edition-review,7-Jun-17,Nintendo Switch,9.5,Action,Y
Great,Elder Scrolls Online: Morrowind,http://www.ign.com/articles/2017/06/06/the-elder-scrolls-online-morrowind-review,6-Jun-17,PC,8,RPG,N
Amazing,Dirt 4,http://www.ign.com/articles/2017/06/06/dirt-4-review,6-Jun-17,PC,9.2,Racing,Y
Amazing,Dirt 4,http://www.ign.com/articles/2017/06/06/dirt-4-review,6-Jun-17,PlayStation 4,9.2,Racing,Y
Amazing,Dirt 4,http://www.ign.com/articles/2017/06/06/dirt-4-review,6-Jun-17,Xbox One,9.2,Racing,Y
Good,Marvel's Guardians of the Galaxy -- Episode 2: Under Pressure,http://www.ign.com/articles/2017/06/05/marvels-guardians-of-the-galaxy-the-telltale-series-episode-2-under-pressure-review,5-Jun-17,PC,7.9,Adventure,N
Amazing,Tekken 7,http://www.ign.com/articles/2017/06/02/tekken-7-review,2-Jun-17,Xbox One,9.5,Fighting,Y
Amazing,Tekken 7,http://www.ign.com/articles/2017/06/02/tekken-7-review,2-Jun-17,PlayStation 4,9.5,Fighting,Y
Okay,Star Trek: Bridge Crew,http://www.ign.com/articles/2017/06/01/star-trek-bridge-crew-review,1-Jun-17,PlayStation 4,6.8,"Simulation, Adventure",N
Okay,Star Trek: Bridge Crew,http://www.ign.com/articles/2017/06/01/star-trek-bridge-crew-review,1-Jun-17,PC,6.8,"Simulation, Adventure",N
